metric,title,policy,mean,std,median,p10,p90,min,max,replications,highlight
simtime,Sim Time,01.FIFO,164.1100270442388,3.8065345022549564,163.84426500960546,159.7520634844851,168.63841111165527,155.8696748904465,174.14181846969726,100,mid
simtime,Sim Time,02.LIFO,166.92142282403975,4.253361187539937,166.95109156711186,161.984598181935,171.9949603875041,157.10475162840444,179.5990896209393,100,mid
simtime,Sim Time,03.SIRO,163.5767392319453,3.6035654941641933,163.24192573459703,158.64087475170828,167.70402318491097,157.46107021844767,174.44990778987784,100,best
simtime,Sim Time,04.SPT,166.97970563095754,4.423957936679841,166.89845546243654,161.81135019432594,172.29033156162956,154.9362051242502,178.2695221825634,100,mid
simtime,Sim Time,05.LPT,170.69419287028842,3.0152957518233916,170.52720875229335,167.26872428847892,174.27922939691553,161.08580582329475,182.2674222917238,100,mid
simtime,Sim Time,06.EDD,165.36907711251948,3.6897700513168696,165.1267168426961,161.50868690238886,170.15316226797518,156.64890742399075,176.20372989315644,100,mid
simtime,Sim Time,07.MINSLACK,163.02687789625358,4.076394137075572,162.56405156741138,158.27821848862877,168.43117556559605,155.30340968204538,175.5326950439951,100,best
simtime,Sim Time,08.CRITICALRATIO,163.7762684568172,4.237394901118801,163.33961797515326,158.57037491219222,168.9923264754234,155.48596348015792,176.795637884882,100,mid
simtime,Sim Time,09.FOPNR,173.68758002831845,4.360264088910664,173.57233658464924,168.6559959144937,179.93850165346052,163.06046475142858,186.44951820708977,100,worst
simtime,Sim Time,10.MOPNR,169.04589430954798,5.30109801840745,168.47856452148716,162.7761919853212,176.07447616273055,157.74205218971636,186.21916726144818,100,mid
simtime,Sim Time,11.LWRK,172.16630492750963,4.057685996585909,171.86879193291156,167.62532504790374,177.50787642389795,162.16640678457344,181.8296281618611,100,worst
simtime,Sim Time,12.MWRK,168.27764082496586,5.260554288211732,167.49273033703784,162.18624390923344,174.91615837393775,156.5243711655689,181.45400633444177,100,mid
throughput,Throughput,01.FIFO,1.950944632575024,0.04502161884802801,1.953074192420197,1.8975514209694584,2.003104068497128,1.8375827403897462,2.052997160768527,100,mid
throughput,Throughput,02.LIFO,1.9182925638820612,0.048507598742851626,1.9167292909243303,1.860519653772041,1.9754965793195427,1.7817462253032015,2.036857553213204,100,mid
throughput,Throughput,03.SIRO,1.9571976107120654,0.0426286454767853,1.9602808454445433,1.9081236470268224,2.0171346888088313,1.8343374556863334,2.032248349106608,100,best
throughput,Throughput,04.SPT,1.9177362182858844,0.05096332612453395,1.9173335494516883,1.857330043019343,1.9776116563287864,1.7950348218934042,2.065366192126481,100,mid
throughput,Throughput,05.LPT,1.8752739917359773,0.03297629545732371,1.8765350648064953,1.836134820440971,1.9130893363985517,1.755662070470452,1.9865189137212271,100,mid
throughput,Throughput,06.EDD,1.9360149939667608,0.04300602324088636,1.9379059280342565,1.8806586303610755,1.9813177932181167,1.8160796039563771,2.0427847551715006,100,mid
throughput,Throughput,07.MINSLACK,1.964063587553031,0.048384833843698224,1.9684553228293078,1.8998870375410695,2.021756614034441,1.8230222006207788,2.0604827714674134,100,best
throughput,Throughput,08.CRITICALRATIO,1.9551659128576375,0.05003903070153675,1.9591082926012537,1.89357797129989,2.0180316918796057,1.8099994085168747,2.0580635887485514,100,mid
throughput,Throughput,09.FOPNR,1.8435314979066604,0.046015367351658516,1.8436117558953136,1.7783862442232892,1.8973535666303816,1.7162822574021108,1.96246220987909,100,worst
throughput,Throughput,10.MOPNR,1.8947972738898062,0.0586854623576384,1.8993515630434499,1.8174128169431383,1.9658894594499383,1.7184052786076853,2.0286283559639253,100,mid
throughput,Throughput,11.LWRK,1.859684221935653,0.043578618151675755,1.8618854566165475,1.802737344133573,1.909019543119059,1.7598892063681855,1.9732816823468087,100,worst
throughput,Throughput,12.MWRK,1.9034513309211107,0.05924996977553268,1.910530689292153,1.8294489532983624,1.9730404616631796,1.7635322937439095,2.044410066094495,100,mid
mean_wip_queue,Mean Queue WIP,01.FIFO,37.515452189563064,1.9512250339370503,37.18309136968013,35.367381654602,39.92532014547519,33.21213774186682,45.172419239025935,100,mid
mean_wip_queue,Mean Queue WIP,02.LIFO,30.155657846264898,1.7379410651261407,29.90597491542421,28.278102053618294,32.34039534320642,27.091656705127534,37.59092323576943,100,best
mean_wip_queue,Mean Queue WIP,03.SIRO,33.54054689104581,1.714878577109449,33.258806281391,31.503960557954088,35.82760451217687,30.32115285127885,38.9557824810879,100,mid
mean_wip_queue,Mean Queue WIP,04.SPT,29.775127374078764,1.4801390161054473,29.483555384261717,28.110550924062842,31.872884849845043,26.766124763160203,34.785861679693554,100,best
mean_wip_queue,Mean Queue WIP,05.LPT,38.237500621505774,2.398680569468411,37.97512424842454,35.71469085586026,40.52867872258449,32.74753226037183,46.977108150695365,100,mid
mean_wip_queue,Mean Queue WIP,06.EDD,30.538904874503352,1.5523230841588755,30.363075800727486,28.789686646758682,32.24068962707647,27.5076035570719,35.68284614788202,100,mid
mean_wip_queue,Mean Queue WIP,07.MINSLACK,33.691215339582136,1.903912014625527,33.43069382048869,31.487748494014202,35.96593632066725,30.102949743481272,39.705206874496334,100,mid
mean_wip_queue,Mean Queue WIP,08.CRITICALRATIO,35.785057259930866,1.7027151429348133,35.531854910541014,34.041132016624665,38.092846985246986,31.590127578501914,40.95943366669758,100,mid
mean_wip_queue,Mean Queue WIP,09.FOPNR,35.5783024600619,2.2181486462035327,35.47597052422316,33.11385780938012,38.34870580605091,30.08524397695253,42.910830424682594,100,mid
mean_wip_queue,Mean Queue WIP,10.MOPNR,40.90019325533528,2.369462691590302,40.50574827133478,38.52446383373413,43.521883186888786,34.93371279956769,49.047700236872956,100,worst
mean_wip_queue,Mean Queue WIP,11.LWRK,30.69756633603147,1.8205847438972456,30.479574605215284,28.848415089929503,33.2749089118005,26.573277629502854,37.4221928445886,100,mid
mean_wip_queue,Mean Queue WIP,12.MWRK,45.70667667952742,2.873104748274537,45.6905068365024,42.371088844336136,48.41047549255963,37.1752746783322,56.35486135853531,100,worst
mean_queue_length,Mean Queue Length,01.FIFO,4.689431523695383,0.24390312924213128,4.647886421210016,4.42092270682525,4.990665018184399,4.151517217733352,5.646552404878242,100,mid
mean_queue_length,Mean Queue Length,02.LIFO,3.7694572307831122,0.21724263314076758,3.7382468644280262,3.534762756702287,4.042549417900802,3.3864570881409417,4.698865404471179,100,best
mean_queue_length,Mean Queue Length,03.SIRO,4.192568361380726,0.21435982213868113,4.157350785173875,3.937995069744261,4.478450564022109,3.790144106409856,4.869472810135988,100,mid
mean_queue_length,Mean Queue Length,04.SPT,3.7218909217598455,0.1850173770131809,3.6854444230327146,3.5138188655078553,3.9841106062306304,3.3457655953950254,4.348232709961694,100,best
mean_queue_length,Mean Queue Length,05.LPT,4.779687577688222,0.29983507118355135,4.746890531053068,4.464336356982533,5.066084840323061,4.093441532546478,5.872138518836921,100,mid
mean_queue_length,Mean Queue Length,06.EDD,3.817363109312919,0.19404038551985944,3.795384475090936,3.5987108308448352,4.030086203384559,3.4384504446339874,4.460355768485252,100,mid
mean_queue_length,Mean Queue Length,07.MINSLACK,4.211401917447767,0.23798900182819088,4.1788367275610865,3.9359685617517752,4.495742040083406,3.762868717935159,4.963150859312042,100,mid
mean_queue_length,Mean Queue Length,08.CRITICALRATIO,4.473132157491358,0.21283939286685166,4.441481863817627,4.255141502078083,4.761605873155873,3.948765947312739,5.119929208337197,100,mid
mean_queue_length,Mean Queue Length,09.FOPNR,4.447287807507737,0.2772685807754416,4.434496315527895,4.139232226172515,4.793588225756364,3.760655497119066,5.363853803085324,100,mid
mean_queue_length,Mean Queue Length,10.MOPNR,5.11252415691691,0.29618283644878773,5.063218533916848,4.815557979216766,5.440235398361098,4.366714099945961,6.1309625296091195,100,worst
mean_queue_length,Mean Queue Length,11.LWRK,3.837195792003934,0.2275730929871557,3.8099468256519105,3.606051886241188,4.159363613975063,3.321659703687857,4.677774105573575,100,mid
mean_queue_length,Mean Queue Length,12.MWRK,5.713334584940927,0.35913809353431714,5.7113133545628,5.296386105542017,6.051309436569953,4.646909334791525,7.044357669816914,100,worst
mean_saturation,Mean Saturation,01.FIFO,65.73840414224377,1.467337193017421,65.82169819058498,64.04853012242715,67.52159640713606,60.56555914194033,68.76337193642087,100,mid
mean_saturation,Mean Saturation,02.LIFO,64.6380782317682,1.589259698958438,64.65825647449446,62.915465090382895,66.63010321616215,59.57248960694163,68.48330667562215,100,mid
mean_saturation,Mean Saturation,03.SIRO,65.9556607348876,1.6709971911205335,65.9263148477614,63.78027251594055,68.07034157671093,60.241909086355136,69.8910545743613,100,best
mean_saturation,Mean Saturation,04.SPT,64.61803940337543,1.6198700522601723,64.66088116893944,62.604551303852254,66.65936247458785,60.34774764145875,68.2866188049461,100,mid
mean_saturation,Mean Saturation,05.LPT,63.20012353205993,1.5916104024244782,63.28345711754056,61.34781524535968,65.26133794772203,55.71537840499425,67.03142194044823,100,mid
mean_saturation,Mean Saturation,06.EDD,65.24083516889169,1.6319529713172225,65.26621356579753,63.399232966839,67.32169990996377,58.499481650652,68.76440209968376,100,mid
mean_saturation,Mean Saturation,07.MINSLACK,66.17832670679057,1.4970162768514865,66.08267459733315,64.35316265433958,67.96543080504716,60.89407477368409,69.50110458930314,100,best
mean_saturation,Mean Saturation,08.CRITICALRATIO,65.878271737067,1.546676948265093,65.819156632421,64.14133280381819,67.80975028561008,60.41075585945449,69.4195043577979,100,mid
mean_saturation,Mean Saturation,09.FOPNR,62.12094642418264,1.5747906750444243,62.22901862239702,60.48441873495751,63.794771521763764,54.465672539882846,65.58209278494476,100,worst
mean_saturation,Mean Saturation,10.MOPNR,63.83749116487948,1.6204324833502999,63.76423384467993,62.079343289704056,65.81888284793254,57.53159609890903,67.65771308362253,100,mid
mean_saturation,Mean Saturation,11.LWRK,62.66572026368976,1.5203238817301197,62.701174964356944,60.97077802291288,64.65281311227601,56.01733761127686,65.92251384688436,100,worst
mean_saturation,Mean Saturation,12.MWRK,64.1292070824137,1.638847729015162,64.18019904841248,62.12053432009622,66.08473849762335,57.59435021702431,67.47052497947992,100,mid
saturation_std,Saturation Std,01.FIFO,17.059635850848327,2.235570880144102,16.94572344315992,14.4804561498418,19.79785497284808,11.562800041382522,22.786304039867453,100,mid
saturation_std,Saturation Std,02.LIFO,16.768904370060188,2.1625862210294455,16.67138734208976,14.246421348368587,19.366530958590047,11.511812311866288,22.23533152907745,100,mid
saturation_std,Saturation Std,03.SIRO,17.11428060630599,2.2381526190716303,16.970550629845107,14.400206924650819,19.751275542701347,11.55039959642162,22.516294101911562,100,worst
saturation_std,Saturation Std,04.SPT,16.759263104775197,2.1292230968334924,16.6325559475146,14.18770045724082,19.149912026067824,11.609712612897308,22.203754425266418,100,mid
saturation_std,Saturation Std,05.LPT,16.40970998065889,2.2208137305827833,16.339129428086228,13.654563243307882,19.059695688338778,11.206430107796985,21.23472333839297,100,mid
saturation_std,Saturation Std,06.EDD,16.925432215643664,2.189955305838323,16.724043770718723,14.284688109783099,19.53598276325662,11.639128529268303,22.408506244983595,100,mid
saturation_std,Saturation Std,07.MINSLACK,17.16703901820484,2.2022065055459845,17.089830517311164,14.657471519738257,19.642522166932352,11.93197110038802,23.160659918131486,100,worst
saturation_std,Saturation Std,08.CRITICALRATIO,17.089911619721487,2.2010136996844327,17.03093445494757,14.544732972908792,19.64424575040212,11.878309710518899,22.97627443058479,100,mid
saturation_std,Saturation Std,09.FOPNR,16.11527316026728,2.084010175485683,15.94575030494951,13.634718165052274,18.394734533952075,11.184869877637505,21.43295133959346,100,best
saturation_std,Saturation Std,10.MOPNR,16.561445220530715,2.1410017519844797,16.446372131221608,14.165483337144956,19.165029458034386,11.512205257945471,22.11546042913411,100,mid
saturation_std,Saturation Std,11.LWRK,16.25864037352595,2.1107348303487066,16.22067851181819,13.741190668715925,18.676236412752296,11.236902864556784,21.64798596098416,100,best
saturation_std,Saturation Std,12.MWRK,16.638316119452508,2.1593427056246943,16.505126263778784,14.092426406568762,19.364464477648113,11.543192130043163,22.263887386295576,100,mid
mean_makespan,Mean Makespan,01.FIFO,27.51989876004999,1.2349937853727697,27.47523519679975,26.213868265067543,28.954426563670506,25.190897707593177,32.22391016845273,100,mid
mean_makespan,Mean Makespan,02.LIFO,24.009333751539447,1.1058176176178969,23.809025399157377,22.923987100123508,25.32985349555963,22.08869691076069,29.703855869442076,100,best
mean_makespan,Mean Makespan,03.SIRO,25.42281002428073,1.0294874123102342,25.241003597283516,24.355100811973976,26.456010680965672,23.45797231107808,29.834291525960765,100,mid
mean_makespan,Mean Makespan,04.SPT,23.81388006239856,0.9464942181841404,23.70357159706804,22.8475089236849,24.86272012173642,21.913428537546483,27.984991335669907,100,best
mean_makespan,Mean Makespan,05.LPT,28.67315773487473,1.4053199171591368,28.657596196073015,27.263337690638274,30.226105764332942,26.2592434116722,34.06531762231227,100,mid
mean_makespan,Mean Makespan,06.EDD,24.060217226442365,0.9747366703099869,24.011349085863195,22.967812063535753,25.34593792010165,22.24601004178168,28.254340223522256,100,mid
mean_makespan,Mean Makespan,07.MINSLACK,25.447899121678297,1.2549915905849989,25.195240891270096,24.065626469090983,27.058528226198018,23.063118110412724,30.385938303207393,100,mid
mean_makespan,Mean Makespan,08.CRITICALRATIO,26.595411398300897,1.1384536621384858,26.41939431836886,25.362348311754662,28.12518138038494,24.323865155060655,31.23558590491866,100,mid
mean_makespan,Mean Makespan,09.FOPNR,27.589950461550707,1.4095180222969217,27.377123754020168,26.007919965277058,29.64113371576078,25.217775858326565,32.22859061864205,100,mid
mean_makespan,Mean Makespan,10.MOPNR,29.891874479813158,1.662472803710671,29.75313374435668,27.958216501988154,31.785519852044963,26.851948757465102,37.14862556645711,100,worst
mean_makespan,Mean Makespan,11.LWRK,24.792834892392683,1.1245923109399119,24.64551911344291,23.53196208964725,26.69423809310336,22.567649997508543,28.46784841953707,100,mid
mean_makespan,Mean Makespan,12.MWRK,32.319076511888696,1.8833180752168992,32.08943737327295,30.15659484144671,34.40379354249807,28.399255667764333,38.95771995795417,100,worst
mean_lateness,Mean Lateness,01.FIFO,-0.4700475972339487,1.313754499782393,-0.628360738625333,-2.108839904570632,1.1095624494507683,-2.7349433172226676,4.583220986247006,100,mid
mean_lateness,Mean Lateness,02.LIFO,-3.9806126057444953,1.1538671779538083,-4.179202809329281,-5.2195517137537335,-2.433387577560165,-6.148439576821403,1.1545043467500136,100,best
mean_lateness,Mean Lateness,03.SIRO,-2.5671363330032118,1.0982755700874307,-2.7156036459779394,-3.7559767506541557,-1.2341617664313518,-4.779164176504013,1.2849400032686957,100,mid
mean_lateness,Mean Lateness,04.SPT,-4.176066294885382,1.0306584886727428,-4.330576315068495,-5.440475622781483,-2.58137890569518,-5.863808720024915,-0.5643601870221453,100,best
mean_lateness,Mean Lateness,05.LPT,0.6832113775907925,1.4641246830260481,0.6559732491574122,-0.9339036319790627,2.3796242169636845,-1.8598502893988766,5.515966099620217,100,mid
mean_lateness,Mean Lateness,06.EDD,-3.9297291308415727,1.0545739683700057,-4.087408534021815,-5.129259556948605,-2.5407884379870573,-5.991126445800409,-0.2950112991698043,100,mid
mean_lateness,Mean Lateness,07.MINSLACK,-2.542047235605647,1.3396867451229288,-2.7409777160686053,-4.09880621786444,-0.7261668978169332,-5.039255090069579,1.8365867805153246,100,mid
mean_lateness,Mean Lateness,08.CRITICALRATIO,-1.394534958983046,1.2004477742888033,-1.6335278496794254,-2.629317525739184,0.10345008288429673,-3.622430026292286,2.686234382226602,100,mid
mean_lateness,Mean Lateness,09.FOPNR,-0.39999589573324007,1.4904625813848162,-0.6091229869661792,-2.119853243989818,1.6274632328936742,-3.019360629255531,4.58264814780636,100,mid
mean_lateness,Mean Lateness,10.MOPNR,1.901928122529219,1.7130554012373833,1.732554502623547,0.02050339711433114,3.896995118231221,-1.1254821349271762,8.599274043765053,100,worst
mean_lateness,Mean Lateness,11.LWRK,-3.197111464891259,1.1960997180684032,-3.3931979965858785,-4.6186653180176505,-1.5524052115544946,-5.529493173252988,0.8219059487013898,100,mid
mean_lateness,Mean Lateness,12.MWRK,4.3291301546047585,1.945145783152069,4.195811470305267,1.8733409857918069,6.5059090452057,0.41354472819052496,10.55324520119799,100,worst
mean_tardiness,Mean Tardiness,01.FIFO,4.585859040378686,0.7862081474822101,4.511459542452473,3.608170663778467,5.579187269621299,3.312380492807134,7.882030319517106,100,mid
mean_tardiness,Mean Tardiness,02.LIFO,3.800784621985908,0.9268271561680684,3.569510777155961,2.9479872733566848,4.857198765663434,2.1428273290984103,8.548461271799486,100,mid
mean_tardiness,Mean Tardiness,03.SIRO,3.721538033492068,0.6343078861652051,3.5872229103219513,3.065524467948549,4.521862586521307,2.5938857181744526,6.29695188310995,100,mid
mean_tardiness,Mean Tardiness,04.SPT,3.568065526569798,0.7327059622391038,3.428134086567156,2.7931650880650998,4.640088855391293,2.538376944739896,6.28361058310484,100,mid
mean_tardiness,Mean Tardiness,05.LPT,5.806949346212457,0.9915299806101965,5.674621984745878,4.751227926092119,6.919897836324113,4.3957528790809555,9.368748761122422,100,mid
mean_tardiness,Mean Tardiness,06.EDD,0.9745902550305368,0.5381587712884343,0.8433178097036919,0.4257895501565154,1.5804524491809402,0.20519596697303805,3.298130498346081,100,best
mean_tardiness,Mean Tardiness,07.MINSLACK,0.9415901125969472,0.6761577520276434,0.7620210239053942,0.2818023676567813,1.7785832625235485,0.047532837895026825,3.6742394810619614,100,best
mean_tardiness,Mean Tardiness,08.CRITICALRATIO,1.0785453304430295,0.6651611446560098,0.910769101186123,0.443620347623272,1.9117107077429358,0.10097360434958325,3.7177595609888883,100,mid
mean_tardiness,Mean Tardiness,09.FOPNR,6.208760440555974,1.189053448558422,6.036631255032702,4.804889902623675,7.8910572565613215,4.1810672334843835,10.513585723284127,100,worst
mean_tardiness,Mean Tardiness,10.MOPNR,6.142699557976598,1.274977502297661,5.968417500045806,4.812010648516472,7.569988718804696,4.077200563495109,11.956348759225685,100,mid
mean_tardiness,Mean Tardiness,11.LWRK,4.567903550375528,0.9064252655229024,4.391412330353859,3.675395385889393,5.9580274522839165,2.9093664567590003,8.348884237784485,100,mid
mean_tardiness,Mean Tardiness,12.MWRK,7.923287162012483,1.594695238823036,7.785165077595744,6.048199254602497,9.69925972269573,5.470624404965187,13.428967000037716,100,worst
ontime_share,On-Time Share,01.FIFO,50.3625,4.396304548921592,50.31250000000001,45.28125,55.96874999999999,35.3125,59.06249999999999,100,mid
ontime_share,On-Time Share,02.LIFO,64.071875,2.7117748384814715,64.0625,60.9375,67.5,55.625,70.0,100,mid
ontime_share,On-Time Share,03.SIRO,57.796875,3.7924717655907516,57.96875,51.87500000000001,62.53125,47.1875,66.875,100,mid
ontime_share,On-Time Share,04.SPT,64.040625,2.8538469600857908,64.375,60.3125,67.84375,55.3125,69.6875,100,mid
ontime_share,On-Time Share,05.LPT,50.28125,3.839293579474477,50.31250000000001,45.625,55.00000000000001,39.6875,57.1875,100,mid
ontime_share,On-Time Share,06.EDD,75.653125,6.923482488572546,75.46875,67.46875,83.75,54.6875,91.875,100,best
ontime_share,On-Time Share,07.MINSLACK,70.76875,11.623501383256494,72.1875,55.74999999999999,85.34375,38.75,95.9375,100,best
ontime_share,On-Time Share,08.CRITICALRATIO,55.83125,11.911594663892348,57.1875,40.5625,71.5625,24.0625,83.75,100,mid
ontime_share,On-Time Share,09.FOPNR,55.196875,2.7733509153862475,55.3125,51.5,58.4375,48.75,61.25000000000001,100,mid
ontime_share,On-Time Share,10.MOPNR,44.265625,4.671664117651928,44.375,38.40625,49.75,31.5625,56.25,100,worst
ontime_share,On-Time Share,11.LWRK,61.39375,2.697538217869895,61.40625,58.06250000000001,64.375,54.6875,69.0625,100,mid
ontime_share,On-Time Share,12.MWRK,36.046875,4.524278423060266,36.25,30.593750000000004,42.5,25.937500000000004,50.625,100,worst
mean_queuetime,Mean Queue Time,01.FIFO,4.307375033003663,0.22945056536687938,4.285796022896713,4.063337978864567,4.546925542445208,3.8740287082920584,5.170883225463612,100,mid
mean_queuetime,Mean Queue Time,02.LIFO,3.521569115325336,0.21061930677436577,3.4905168809659233,3.308471898592015,3.76742141691281,3.1667839150275814,4.649652610988157,100,best
mean_queuetime,Mean Queue Time,03.SIRO,3.8383640567171313,0.19747771781914025,3.8115163032007144,3.6317067748434155,4.054330578933749,3.476881670230389,4.678398761185111,100,mid
mean_queuetime,Mean Queue Time,04.SPT,3.4780105243760886,0.17567668914817286,3.4405672926776263,3.309612820867036,3.7055287279255267,3.1312594912843097,4.270839490597598,100,best
mean_queuetime,Mean Queue Time,05.LPT,4.565427896170648,0.26662488281642055,4.553879580750425,4.304547316847677,4.8379663998679225,4.1335457105158175,5.610856303080763,100,mid
mean_queuetime,Mean Queue Time,06.EDD,3.533051297013264,0.17941997249083244,3.4995117577988117,3.3378875158039465,3.713056181704947,3.2024103848978713,4.330200127038885,100,mid
mean_queuetime,Mean Queue Time,07.MINSLACK,3.843337442618489,0.23577882688833388,3.7869926078064813,3.5882642595241085,4.124035714667788,3.409211364621319,4.799973808512191,100,mid
mean_queuetime,Mean Queue Time,08.CRITICALRATIO,4.100512514142659,0.2105647309355022,4.058593754213417,3.880097217186668,4.362541387575443,3.694933074456542,4.987223968668948,100,mid
mean_queuetime,Mean Queue Time,09.FOPNR,4.323014722353054,0.2738004611926821,4.267262510931928,4.0294542342334205,4.716423763945459,3.87542175170209,5.326786637355431,100,mid
mean_queuetime,Mean Queue Time,10.MOPNR,4.837659062917483,0.31437841898282154,4.772706336138924,4.525259449664996,5.173350616682433,4.24655042990245,6.290373205371636,100,worst
mean_queuetime,Mean Queue Time,11.LWRK,3.6969966566952843,0.21434334280856343,3.665824924864965,3.460496541595265,4.010631518752138,3.295964487753154,4.488738236440677,100,mid
mean_queuetime,Mean Queue Time,12.MWRK,5.381368809670136,0.3701934600107575,5.3480710210821645,4.957210937655228,5.762722141852767,4.685335825957696,6.875249915097098,100,worst
mean_processing_ratio,Mean Processing Ratio,01.FIFO,0.3601883468790135,0.015369764496267492,0.3611625567388612,0.3412380332217007,0.37705591992871473,0.303776030712397,0.385666940495886,100,mid
mean_processing_ratio,Mean Processing Ratio,02.LIFO,0.4233058076963651,0.00864402764513473,0.4230065664960473,0.4106640987646305,0.43379174642264745,0.40132734435016026,0.44878992661569417,100,best
mean_processing_ratio,Mean Processing Ratio,03.SIRO,0.3900541958758992,0.012983695618337496,0.39100644571578286,0.37501967890136056,0.40548334543015957,0.34442884753783154,0.4134787986896503,100,mid
mean_processing_ratio,Mean Processing Ratio,04.SPT,0.4200514675997735,0.008502802550561453,0.4202661209949152,0.4117392270603631,0.43058888979769117,0.39334916010643833,0.44129042879523783,100,best
mean_processing_ratio,Mean Processing Ratio,05.LPT,0.348256083391131,0.012730239610272682,0.3513633401780175,0.3316032580910046,0.36190912045913803,0.30558443059794205,0.37257374661648995,100,mid
mean_processing_ratio,Mean Processing Ratio,06.EDD,0.4121848201528108,0.0122649563770448,0.4128826327166828,0.3979161480418409,0.42713718226184305,0.3711989902334077,0.43797675629550514,100,mid
mean_processing_ratio,Mean Processing Ratio,07.MINSLACK,0.3903501790422665,0.016289267183889886,0.39337486153626816,0.37112661650215545,0.40797494854097444,0.33497008086111324,0.4206474685206677,100,mid
mean_processing_ratio,Mean Processing Ratio,08.CRITICALRATIO,0.36953409305760787,0.015110569307096316,0.37188163952003955,0.3499299648949698,0.3865086716080992,0.3180149214839602,0.39527393317814213,100,mid
mean_processing_ratio,Mean Processing Ratio,09.FOPNR,0.36896683468451774,0.010559598038105519,0.3696460080648255,0.3570839277973544,0.3813811036595577,0.3322961067722853,0.39122985300183766,100,mid
mean_processing_ratio,Mean Processing Ratio,10.MOPNR,0.33265215564068457,0.013353023031816489,0.33392529109555547,0.31681464369086654,0.3466040007318685,0.28631151271260563,0.3663335280576884,100,worst
mean_processing_ratio,Mean Processing Ratio,11.LWRK,0.40786736655496136,0.009184941208185686,0.40837397762411204,0.3953203113322444,0.4178544760269498,0.3822501691427617,0.4379277082148577,100,mid
mean_processing_ratio,Mean Processing Ratio,12.MWRK,0.31976766299341414,0.012385075039008705,0.3203167694080385,0.304660616105287,0.3343880288798822,0.2885794185937324,0.35165257062963345,100,worst
bottleneck_time_share,Bottleneck Time Share,01.FIFO,42.85975672004886,3.1613792231495648,42.89288344925248,39.040828696132145,47.182587487580065,36.26224186245727,50.556077205230515,100,mid
bottleneck_time_share,Bottleneck Time Share,02.LIFO,48.759234852091105,3.4356031207205215,48.29191527713857,44.31760567551917,53.63359271622734,41.58935088764471,56.21028899137851,100,worst
bottleneck_time_share,Bottleneck Time Share,03.SIRO,47.153860203161045,3.6889296237537033,46.836048958903405,42.54492288432689,52.00044247610192,40.46175144380478,56.155916323305426,100,mid
bottleneck_time_share,Bottleneck Time Share,04.SPT,42.78224357696172,3.3133125119848907,41.96596316925596,38.91593662396367,46.96008410563097,36.62790411303263,51.376839060061265,100,mid
bottleneck_time_share,Bottleneck Time Share,05.LPT,44.737515954526586,2.878599351678928,44.48048653139328,40.92732732538173,48.6932595820222,38.051182664644216,50.78771841892448,100,mid
bottleneck_time_share,Bottleneck Time Share,06.EDD,49.70876317979316,4.0491046711492515,49.37530973705352,44.904711230769365,55.10646910317458,43.01685260911101,59.69967043015849,100,worst
bottleneck_time_share,Bottleneck Time Share,07.MINSLACK,46.113292079431794,3.5279246851654467,45.68082578728927,41.93947202050769,51.25096612291951,40.04253459837207,54.161111196963375,100,mid
bottleneck_time_share,Bottleneck Time Share,08.CRITICALRATIO,43.32613106869023,3.579722724898239,43.51040288278994,38.68442231280037,48.64204649892418,35.70199187698033,51.38937007364737,100,mid
bottleneck_time_share,Bottleneck Time Share,09.FOPNR,40.74294729629919,3.4763535730988897,41.060817634945735,36.219882864070016,45.39220880845533,31.64979282632126,49.54026038397436,100,mid
bottleneck_time_share,Bottleneck Time Share,10.MOPNR,38.165570631107904,2.5609520396740666,37.981179937804896,35.02523955991455,41.59855975186826,32.949960888062044,44.91315435076851,100,best
bottleneck_time_share,Bottleneck Time Share,11.LWRK,46.59412857546031,3.7814485805266336,46.733890488806324,41.899440982761526,51.241457197668566,37.10254003947682,55.417798528497755,100,mid
bottleneck_time_share,Bottleneck Time Share,12.MWRK,32.86450087703068,2.702104745725925,32.49641401731225,29.688937684830385,36.310790290501224,27.648070984862088,45.34343035672564,100,best
